nom_produit;prix_vente_ht;prix_achat_ht;quantite_vendue_2024
"Facial Tonic 200ml - MCCM";11.666667;7.500000;14
"Facial Tonic 500ml - MCCM";26.666667;15.450000;4
"Fat Burner Meso Cocktails 5x10ml - MCCM";58.750000;35.940000;31
"FLASH PEEL 100 ML";73.866667;51.840000;1
"Gel V-Tightening 30 ml – MCCM";63.750000;47.400000;0
"Ginkgo Biloba 4% 20 x 2ml - MCCM";17.066667;11.340000;4
"Glutathion 1500 UI - MCCM";124.000000;95.400000;0
"Glutathion 20% 20x5ml - MCCM";50.291667;37.000000;5
"Hair Cocktail 5x10ml - MCCM";40.383333;29.400000;12
"Hyaluronic Acid + DMAE 5x10ml - MCCM";120.416667;85.800000;7
"Hyaluronic Acid 1% 5x5ml - MCCM";43.333333;32.939999;10
"Hyaluronic Acid 2% 5x5ml - MCCM";75.833333;59.940000;3
"Hyaluronic Acid 3.5% 5x5ml - MCCM";123.333333;95.400000;5
"Hyaluronic Peptide Repair 30ml - MCCM";61.666667;37.200000;4
"Hyaluronidase 1500 UI 5x5ml - MCCM";128.250000;77.400000;18
"Hyaluronidase Liquid 20x5ml - MCCM";78.900000;58.800000;13
"Hyaluronidase Liquide 20 x 5ml - MCCM";67.500000;58.800000;24
"Idebenone 5x5ml - Simildiet";41.583333;30.800000;11
"Intimate Whitening - MCCM";106.916667;65.400000;32
"K-LINFO 60ml - Simildiet";17.750000;12.460000;9
"L CARNITINE 20x5ml - MCCM";43.750000;26.400000;13
"L-CARNITINE 100 x 5ml - MCCM";167.500000;107.400000;0
"Lait Nettoyant Pro 500ml - MCCM";27.000000;16.739999;0
"LAURETH 0.5 % 20 x 2ml - MCCM";42.666667;25.740000;2
"LIGHTENING PEEL - SIMILDIET";86.941667;62.930000;27
"Limpiador 2&1 200ml - MCCM";14.250000;101.400000;1
"Lipase 1500 UI 5x10ml - MCCM";133.333333;59.400000;0
"Lipo Firming 5x10ml - MCCM";57.333333;35.400000;11
"MASQUE ANTI AGE CONTOUR DES YEUX - MCCM";69.000000;42.600000;0
"Masque hydratant au btx 6x20ml - MCCM";49.583333;30.120000;5
"MASQUE NOIR INTENSE - MCCM";97.083333;85.800000;0
"Melano Out 5x10ml - MCCM";68.333333;41.400000;7
"MELANO OUT CRÈME - MCCM";81.666667;53.400000;7
"Melano WHITENING Cream 30g - MCCM";64.166667;47.400000;9
"MELANO WITHENING PACK - MCCM";157.500000;119.400000;2
"MELILOTUS 20 x 2 ml - MCCM";31.666667;19.740000;3
"Meso Cafeine 2,5 % - Simildiet";37.333333;27.930000;7
"MESOPEEL ARGILAC - SIMILDIET";47.583333;27.300000;38
"MESOPEEL FÉRULIQUE contre les défauts pigmentaires et cutanés - SIMILDIET";43.950000;30.090000;36
"METABOLITES REDUCTOR 20x2ml - SIMILDIET";54.166667;30.100000;10
"MUSCLEBIG 20x2ml - SIMILDIET";37.333333;28.580000;10
"Neutralizing Spray 200ml - MCCM";20.991667;11.940000;59
"Oligoelements 20 x 5 ml - MCCM";39.166667;25.320000;1
"Organic Silicon 1 % (20X2ml) - Simildiet";31.541667;23.300000;7
"Out Contour 5x10ml - MCCM";74.916667;45.540000;1
"PACK BTX GOLD - MCCM";102.500000;77.940000;1
"PACK CHAMPAGNE - MCCM";102.416667;65.400000;1
"PACK CVITA 180° - MCCM";79.166667;0.000000;0
"PACK DE TRAITEMENT AZELAIC - MCCM";96.666667;58.800000;2
"PACK MANDELIQUE (Permet de lisser les rides,de resserer les pores et de raffermir la peau)";55.800000;0.000000;0
"PACK MANDELIQUE - MCCM";64.166667;37.200000;5
"PACK PEELING GLYCOLIQUE 30% - MCCM : Excellent catalyseur pour rajeunir la peau";64.166667;37.200000;24
"PACK PLATINUM - MCCM";156.666667;94.500000;2
"PACK PROTEOHYDRA - MCCM";94.600000;59.000000;0
"PACK SMART ANTIAGE - MCCM";213.333333;126.600000;0
"PDRN + HYALURONIC ACID 1% 5x5ml - MCCM";105.000000;65.400000;21
"PDRN + HYALURONIC ACID 2% 5x5ml - MCCM";115.833333;71.400000;9
"PDRN 5x1500 U.I. - MCCM";110.000000;79.500000;13
"PEELING  GLYCOLIQUE  -  SIMILDIET";48.000000;27.230000;31
"PEELING ACIDE GLYCOLIQUE 30% 100ML - MCCM";61.400000;33.420000;5
"PEELING ACIDE LACTIQUE 45% - 100ML";42.450000;25.320000;9
"PEELING ACIDE MANDELIQUE 35% 100 ML - MCCM";49.916667;34.740000;5
"PEELING ACIDE MANDELIQUE 45% 100 ML - MCCM";58.666667;35.940000;11
"PEELING ACIDE SALICYLIQUE 15 % 100ML - MCCM";42.583333;25.860000;0
"PEELING ACIDE SALICYLIQUE 20% 100 ML - MCCM";40.833333;26.940000;14
"PEELING ACIDE TRANEXAMIQUE T50T35 - MCCM";135.000000;91.200000;0
"PEELING ANTIAGE 100 ML - MCCM";75.416667;46.440000;3
"PEELING AZELAIC 60ML - SIMILDIET";48.000000;27.230000;61
"PEELING AZELAIQUE 25% -100ML - MCCM";73.333333;33.420000;6
"PEELING GLUTATHION 100ml - MCCM";73.333333;42.600000;14
"PEELING JESSNER  100 ML - MCCM";68.833333;39.540000;6
"Peeling K33P - MCCM";146.666667;96.600000;1
"PEELING LACTIC ACID 45% - MCCM";42.450000;25.320000;2
"PEELING LIFTING  (Biorevitalisation) 100 ML - MCCM";94.166667;58.140000;10
"PEELING MANDELIC (MESOPEEL MANDELIC 50%) - SIMILDIET";48.000000;27.230000;129
"PEELING PYRUVIQUE 20% 100 ML - MCCM";61.583333;37.200000;7
"PEELING TCA 10% + retinoic acid 10% - PURPLE PEEL 1";45.858333;31.200000;6
"PEELING TCA 15% + retinoic acid 25% - PURPLE PEEL 2";60.700000;37.740000;37
