nom_du_produit;id_categorie;id_produit;nom_de_la_categorie
"PEELING JESSNER  100 ML - MCCM";88;288;Peeling
"FLASH PEEL 100 ML";68;289;MCCM
"PEELING ANTIAGE 100 ML - MCCM";88;290;Peeling
"WITHENING PEEL (Depigmentant) -100 ML";68;291;MCCM
"PEELING ACIDE SALICYLIQUE 20% 100 ML - MCCM";88;292;Peeling
"PEELING ACIDE MANDELIQUE 35% 100 ML - MCCM";68;293;MCCM
"Neutralizing Spray 200ml - MCCM";68;294;MCCM
"MELANO WITHENING PACK - MCCM";68;295;MCCM
"Melano WHITENING Cream 30g - MCCM";68;296;MCCM
"SILICIUM ORGANIQUE 20x5ml - MCCM";68;297;MCCM
"Biphasic 2&1 200ml Oily/Mixed Skin - MCCM";68;298;MCCM
"PEELING TCA 20% + retinoic acid 35% - PURPLE PEEL 4 (MCCM)";88;299;Peeling
"Biphasic 2&1 200ml Normal/Dry Skin - MCCM";68;300;MCCM
"PEELING TCA 15% + retinoic acid 25% - PURPLE PEEL 2";88;301;Peeling
"Hyaluronic Acid 1% 5x5ml - MCCM";68;302;MCCM
"Hyaluronic Acid 3.5% 5x5ml - MCCM";68;304;MCCM
"PEELING TCA 10% + retinoic acid 10% - PURPLE PEEL 1";88;305;Peeling
"Hyaluronic Acid 2% 5x5ml - MCCM";68;306;MCCM
"Hyaluronic Acid + DMAE 5x10ml - MCCM";68;310;MCCM
"PACK PROTEOHYDRA - MCCM";68;312;MCCM
"PEELING LIFTING  (Biorevitalisation) 100 ML - MCCM";88;313;Peeling
"PEELING PYRUVIQUE 20% 100 ML - MCCM";88;314;Peeling
"CRÈME KERA BALANCE - PRÉ-PEEL";68;315;MCCM
"PEELING AZELAIQUE 25% -100ML - MCCM";88;316;Peeling
"DMAE 3% (effet tenseur et raffermissant) 20x5ml - MCCM";68;317;MCCM
"PEELING ACIDE GLYCOLIQUE 30% 100ML - MCCM";88;318;Peeling
"PEELING ACIDE MANDELIQUE 45% 100 ML - MCCM";88;319;Peeling
"Vitamine C 20% 20x2ml -  MCCM";68;320;MCCM
"PEELING ACIDE LACTIQUE 45% - 100ML";88;321;Peeling
"Vitamine C 20% 20x5ml -  MCCM";68;322;MCCM
"PEELING ACIDE SALICYLIQUE 15 % 100ML - MCCM";68;323;MCCM
"Vitamine A 20x2ml - MCCM";68;324;MCCM
"Hyaluronidase 1500 UI 5x5ml - MCCM";68;325;MCCM
"Chondroitin Mesoplus 20 x 2ml - MCCM";68;326;MCCM
"Ginkgo Biloba 4% 20 x 2ml - MCCM";68;327;MCCM
"Serum Xtra Face Anti Aging 50ml - Simildiet";66;330;Simildiet
"Xtra Slimming 5x5ml - SIMILDIET";66;331;Simildiet
"Serum Xtra Slimming 30ml - SIMILDIET";66;332;Simildiet
"XTRA Hair Restorer 5x5ml - SIMILDIET";66;333;Simildiet
"DNA 3 (20x2ml) - SIMILDIET";66;334;Simildiet
"SAMA PEEL - SIMILDIET, peeling anti acné";66;335;Simildiet
"LIGHTENING PEEL - SIMILDIET";66;336;Simildiet
"FACE ANTI-AGING CREAM XTRA 50 ML - SIMILDIET";66;337;Simildiet
"FACE ANTI-AGING CREAM XTRA 250 ML - SIMILDIET";66;338;Simildiet
"Xtra Lightening Cocktail Meso 5x5ml - SIMILDIET";66;339;Simildiet
"METABOLITES REDUCTOR 20x2ml - SIMILDIET";66;340;Simildiet
"CONDROTROFIN 20x2ml - SIMILDIET";66;341;Simildiet
"MUSCLEBIG 20x2ml - SIMILDIET";66;342;Simildiet
"PRE-PEEL LOTION DEGRAISSANTE 400 ML - SIMILDIET";66;343;Simildiet
"POST-PEEL 50 ML - SIMILCARE";66;344;Simildiet
"POST-PEEL 300 ML - SIMILCARE";66;345;Simildiet
"PEELING MANDELIC (MESOPEEL MANDELIC 50%) - SIMILDIET";66;346;Simildiet
"YELLOW PEEL - SIMILDIET";66;347;Simildiet
"PEELING  GLYCOLIQUE  -  SIMILDIET";66;349;Simildiet
"PEELING AZELAIC 60ML - SIMILDIET";66;350;Simildiet
"MESOPEEL FÉRULIQUE contre les défauts pigmentaires et cutanés - SIMILDIET";66;351;Simildiet
"MESOPEEL ARGILAC - SIMILDIET";66;352;Simildiet
"ARTICHOKE 20x2ml - SIMILDIET";66;353;Simildiet
"HYAMIRA 40 MG BOOSTER (2 ml)";86;354;"Dermal Filler"
"HYAMIRA 16 MG (1 ML)";86;355;"Dermal Filler"
"PINK INTIMATE SYSTEM PEELING 1x3ml";88;356;Peeling
"PQ AGE ÉVOLUTION";88;357;Peeling
"HYAMIRA 20 MG ( 2ML)";86;358;"Dermal Filler"
"HYAMIRA 32 MG BOOSTER (2 ML)";86;359;"Dermal Filler"
"MASQUES HYAMIRA COLLAGÈNE Post injection & post peel";86;360;"Dermal Filler"
"COLLAGÈNE MARIN ANTI-AGE À BOIRE (10x50ml) -  HYAMIRA";64;361;Hyamira
"STYLAGE XXL MEPIVACAINE (2x1ml)";86;364;"Dermal Filler"
"Stylage Special Lips Lidocaine (1x1ml) - VICACY";86;365;"Dermal Filler"
"JUVEDERM VOLUX (2x1ml)";86;367;"Dermal Filler"
"RESTYLANE 1x1ml - GALDERMA";86;368;"Dermal Filler"
"RESTYLANE Lyft 1x1ml - GALDERMA";86;369;"Dermal Filler"
"INFINI FILLER M";163;370;Infini
"INFINI FILLER S";86;371;"Dermal Filler"
"MULTI-INJECTEUR CIRCULAIRE 5 AIGUILLES 30Gx4 MM";109;372;ACCESSOIRES
"MULTI-INJECTEUR CIRCULAIRE 7 AIGUILLES 30Gx4 MM";109;373;ACCESSOIRES
"MULTI-INJECTEUR LINÉAIRE 5 AIGUILLES 30Gx4 MM";109;374;ACCESSOIRES
"MULTI-INJECTEUR LINÉAIRE 5 AIGUILLES 30Gx6 MM";109;375;ACCESSOIRES
"MULTI-INJECTEUR CIRCULAIRE 5 AIGUILLES 27Gx4 MM";109;376;ACCESSOIRES
"MESORAM NEEDLES 32G/0.3x12 MM";109;377;ACCESSOIRES
"MESORAM NEEDLES 32G/0.23x6 MM";109;378;ACCESSOIRES
"MESORAM NEEDLES 32G/0.2x4 MM";109;379;ACCESSOIRES
"MESORAM NEEDLES 30G/0.3x13 MM Ultra fine";109;380;ACCESSOIRES
"MESORAM NEEDLES 30G/0.3x6 MM";109;381;ACCESSOIRES
"MESORAM NEEDLES 30G/0.3x4MM";109;382;ACCESSOIRES
"MESORAM NEEDLES 30G/0.3x25 MM";109;383;ACCESSOIRES
"MESORAM NEEDLES 30G/0.3x13 MM";109;384;ACCESSOIRES
"MESORAM NEEDLES 27G/0.4x6 MM";109;385;ACCESSOIRES
"MESORAM NEEDLES 27G/0.4x4 MM";109;386;ACCESSOIRES
"MESORAM NEEDLES 27G/0.4x12 MM Extra Fine";109;387;ACCESSOIRES
"AIGUILLE MÉSOTHÉRAPIE 27G/0.4x12 mm";109;388;ACCESSOIRES
"AIGUILLES MÉSOTHÉRAPIE PIC";109;389;ACCESSOIRES
"AIGUILLES MÉSOTHÉRAPIE TSK 30G";109;390;ACCESSOIRES
"HYAMIRA FORTE";86;391;"Dermal Filler"
"Hyamira Forte";86;433;"Dermal Filler"
"V METALL ";88;434;Peeling
"MESORAM NEEDLES 33G/0.2x12 MM";109;435;ACCESSOIRES
"MESORAM NEEDLES 33G/0.20x12 MM";109;436;ACCESSOIRES
"Definisse Restore Filler + Lidocaine - Relife";86;437;"Dermal Filler"
"Definisse Core Filler + Lidocaine - Relife";86;438;"Dermal Filler"
"Definisse Touch Filler + Lidocaine – Relife";86;439;"Dermal Filler"
"Definisse Hydrobooster – Relife";86;440;"Dermal Filler"
"Free floating threads 12 cm - Definisse";108;441;"FILS TENSEURS / THREADS"
"Free floating threads 23,2 cm - Definisse";108;442;"FILS TENSEURS / THREADS"
"Double Needle Threads 12 cm - Definisse";108;443;"FILS TENSEURS / THREADS"
"Double Needle Threads  23 cm - Definisse";108;444;"FILS TENSEURS / THREADS"
"Definisse Ancorage Threads 31,6 cm";108;445;"FILS TENSEURS / THREADS"
"Skinlight Meso 5x5ml - L'ESTHETIC Paris";96;446;MESOTHERAPIE
"Dermhage Volume - L'ESTHETIC Paris";80;447;"Lesthetic Paris Dermhage"
"HAIR REVITALIZER MESO 5x5ml - L'ESTHETIC Paris";96;448;MESOTHERAPIE
"HA + SKINBOOSTER MESO 5x5ml - L'ESTHETIC Paris";96;449;MESOTHERAPIE
"SLIM BODY MESO 5x5ml - L'ESTHETIC Paris";96;450;MESOTHERAPIE
"MESOFILLER+ 5x5ml - L'ESTHETIC Paris";96;451;MESOTHERAPIE
"Dermhage Full Face - L'ESTHETIC PARIS";86;452;"Dermal Filler"
"Dermhage Lips - L'ESTHETIC PARIS";86;453;"Dermal Filler"
"Dermhage Fine Touch 1x1ml - L'Esthetic Paris";86;454;"Dermal Filler"
"Lightening DEPIGMENTANT Peel 50ml - L'Esthetic Paris";88;455;Peeling
"Anti-Aging Peel 50ml - L'Esthetic Paris";88;456;Peeling
"Anti-Acne Peel 50ml - L'Esthetic Paris";88;457;Peeling
"L'Esthetic Paris Neutralizer Solution 50ml";88;458;Peeling
"FIXER BTX (Seule alternativee au Btx 1 Flacon de 10 ml";96;459;MESOTHERAPIE
"Masque Apaisant Visage Bio Cellulose - L'ESTHETIC PARIS";97;461;COSMETIQUES
"Masque ANTI-AGE Visage Bio Cellulose - L'ESTHETIC PARIS";97;462;COSMETIQUES
"HYAcorp Face 2x2ml – BIOSCIENCE";86;463;"Dermal Filler"
"HYAcorp Lips 1ml - BIOSCIENCE";86;464;"Dermal Filler"
"HYAcorp Face 1ml – BIOSCIENCE";86;465;"Dermal Filler"
"HYAcorp Fine 1x1ml - BIOSCIENCE";86;466;"Dermal Filler"
"Hyacorp MLF 1 Body Contouring 10ml – BIOSCIENCE";86;467;"Dermal Filler"
"HYAcorp MLF 2 Body Contouring 10ml – BIOSCIENCE";86;468;"Dermal Filler"
"JUVEDERM ULTRA SMILE (2X0,55ML)";86;470;"Dermal Filler"
"REVOLAX Fine Lidocaine 1,1ml";86;471;"Dermal Filler"
"Revolax Deep L (1x1.1 Ml)";86;472;"Dermal Filler"
"REVOLAX Deep Lidocaine 1,1ml";86;473;"Dermal Filler"
"REVOLAX SUB-Q Lidocaine 1,1ml";86;474;"Dermal Filler"
"Hyaluronidase Liquid 20x5ml - MCCM";68;475;MCCM
"Revanesse kiss (2x1ml)";86;476;"Dermal Filler"
"REVANESSE ULTRA (2x1ml) ";86;477;"Dermal Filler"
"REVANESSE CONTOUR (2x1ml)";86;478;"Dermal Filler"
"REVANESSE (2x1ml)";86;479;"Dermal Filler"
"REVANESSE PURE (2x1ml)";86;480;"Dermal Filler"
"SERINGUE 3DOSE BTX UNIT DOSE INJECTOR";142;481;"canules et seringues "
"PACK PEELING GLYCOLIQUE 30% - MCCM : Excellent catalyseur pour rajeunir la peau";68;482;MCCM
"PACK MANDELIQUE - MCCM";68;483;MCCM
"PACK MANDELIQUE (Permet de lisser les rides,de resserer les pores et de raffermir la peau)";68;484;MCCM
"PACK DE TRAITEMENT AZELAIC - MCCM";96;485;MESOTHERAPIE
"Whitening Pack (Melano out Pack )";96;486;MESOTHERAPIE
"Profhilo h+L";86;487;"Dermal Filler"
"ME LINE 00 PREP";88;488;Peeling
"ME LINE 01 - PEELING & PREP PEAU CAUCASIENNE";88;489;Peeling
"ME LINE 01 - PEELING & PREP PEAU ETHNIQUE";88;490;Peeling
"ME LINE 02 PEAU CAUCASIENNE DAY";88;491;Peeling
"ME LINE 02 PEAU ETHNIQUE DAY";88;492;Peeling
"ME LINE 02 PEAU CAUCASIENNE NIGHT";88;493;Peeling
"ME LINE 02  PEAU ETHNIQUE NIGHT";88;494;Peeling
"ME LINE 03 MOIST";88;496;Peeling
"ME LINE 05 PIGMENT HOME MASK";88;497;Peeling
"NoFi Kit - Pack Sterile | Hyaluronic Filler Market";109;498;ACCESSOIRES
"Hyaluronidase 4x500 IU";2;499;Accueil
"Montant de la transaction";2;500;Accueil
"ME LINE 01 - PEELING PEAU CAUCASIENNE";88;506;Peeling
"ME LINE 01 - PEELING PEAU ETHNIQUE";88;507;Peeling
"ME LINE 02 INTIMATE";88;508;Peeling
"ME LINE 01 INTIMATE PEELING";88;509;Peeling
"ME LINE 01 SPOTS PEELING";88;511;Peeling
"ME LINE 02 SPOTS";88;512;Peeling
"ME LINE 03 RESTORE";2;513;Accueil
"Sellermania product";2;514;Accueil
"JUVEDERM VOLIFT RETOUCH (2x0,55ml)";86;515;"Dermal Filler"
"ME LINE 02 DARK CIRCLES";2;516;Accueil
"ME LINE 01 DARK CIRCLES PEELING";88;517;Peeling
"INFINI PREMIUM L";163;518;Infini
"INFINI PREMIUM XL";86;519;"Dermal Filler"
"DIVES FILLER UNIVERSAL 2ml";162;521;Dives
"DIVES FILLER UNIVERSAL 1ml";162;522;Dives
"DIVES FILLER VOLUME 1ml";162;524;Dives
"DIVES FILLER VOLUME 2x1ml";162;525;Dives
"DIVES LIPS 1ml";162;526;Dives
"DIVES EYE TOUCH 1ml";162;527;Dives
"DIVES FINE LINES 1ml";162;528;Dives
"DIVES EYEBAG 5ml";162;529;Dives
"Dives Eyelines 10x5ml";162;530;Dives
"Dives Eyelines 1x5ml";162;531;Dives
"DIVES Skinrepair 10x5ml";162;532;Dives
"DIVES POLIFILL  STRONG 2ml";162;533;Dives
"DIVES MED BTX 5ml";162;534;Dives
"DIVES MED BTX 10x5ml";162;535;Dives
"DIVES MED L-CARNITINE 500";162;536;Dives
"DIVES ACNEOUT 5ml";162;537;Dives
"DIVES ACNEOUT 10x5ml";162;538;Dives
"DIVES EYEBAG 10x5ml";162;539;Dives
"DIVES MESOMIX+ Facteurs de croissance 10ml";162;540;Dives
"DIVES Facteur de croissance + Acide Ferulique et EQ-10  10x10ml";162;541;Dives
"Whitening peel 100ml - MCCM";2;542;Accueil
"Red Peel 5 - MCCM";88;543;Peeling
"BTX DMAE 1x10ml - MCCM";68;544;MCCM
"BTX DMAE 5x10ml - MCCM";68;545;MCCM
"COLLAGENE PYRUVATE 20x2ml - MCCM";68;546;MCCM
"PACK CHAMPAGNE - MCCM";96;547;MESOTHERAPIE
"SILICON ORGANIQUE + DMAE 20x5ml - MCCM";68;548;MCCM
"MASQUE NOIR INTENSE - MCCM";2;549;Accueil
"Phosphatidylcholine 5% 100 x 5ml - MCCM";68;550;MCCM
"DIVES Organic Silicon 10ml";162;551;Dives
"Stylage Lips plus 20 mg - VIVACY Paris";2;552;Accueil
"DIVES GLOW-X9 Pre Treatment Spray 100ml";162;554;Dives
"DIVES GLOW-X9 Cold Mask 35ml";162;555;Dives
"DIVES LipGLAM X6 5ml";162;556;Dives
"DIVES Ginkgo Biloba 10 ml";162;557;Dives
"DIVES Argireline Peptide 10% 10ml";162;558;Dives
"DIVES WRINKLEOUT Ha+ 10x5ml (restaure rapidement peaux matures et endommagées)";162;559;Dives
"DIVES CELLUSHOOCK+ (10 X 10 ml)";162;560;Dives
"DIVES Hydra Royal 3X1ml";162;561;Dives
"DIVES WRINKLEOUT Ha+ 5ml";162;562;Dives
"DIVES Anti-Age Soft Peel";162;563;Dives
"DIVES HYDRA Cleanser 500ml";162;564;Dives
"DIVES PEELING GLOW-X9 5x4ml";162;565;Dives
"DIVES QPeel 4x5ml";162;566;Dives
"DIVES QPeel 5ml";162;567;Dives
"DIVES Pink Age 10x5ml";162;568;Dives
"DIVES Multi-Vitamin Complex 10x10ml";162;569;Dives
"DIVES Argireline Peptide 10% 10x10ml";162;570;Dives
"DIVES Organic Silicon + DMAE 10x10ml";162;571;Dives
"DIVES Organic Silicon 10x10ml";162;572;Dives
"DIVES DeHyal+ Hyaluronidase 1500 UI";162;573;Dives
"DIVES DeHyal+ Hyaluronidase 1x1500 UI";162;574;Dives
"DIVES Artichoke Complex 10x10ml";162;575;Dives
"DIVES Artichoke Complex 1x10ml";162;576;Dives
"DIVES VITAMIN-C 20% 10x10ml";162;577;Dives
"DIVES RICH HAIR 10x5ml";162;578;Dives
"DIVES VITAMIN-C 20% 1x10ml";162;579;Dives
"DIVES RICH HAIR 1x5ml";162;580;Dives
"DIVES LACTIC PEELING + DMAE";162;581;Dives
