nom_produit;quantite_totale_vendue;prix_vente_total;prix_achat_total;marge_totale;pourcentage_marge
"DIVES Anti-Age Soft Peel";1;52.250000;37.100000;15.150000;28.9952153110
"FACE ANTI-AGING CREAM XTRA 50 ML - SIMILDIET";1;32.000000;23.940000;8.060000;25.1875000000
"ME LINE 05 PIGMENT HOME MASK";1;65.250000;34.500000;30.750000;47.1264367816
"VITILSI Gel";1;58.000000;34.500000;23.500000;40.5172413793
"VITAMINES AEC 20 x 5ml - MCCM";1;45.616667;27.540000;18.076667;39.6273296337
"JUVEDERM ULTRA 2 (2x0,55ml)";1;93.000000;82.090000;10.910000;11.7311827957
"Meso Whitening Max 5x10ml - INFINI";1;128.916667;69.510000;59.406667;46.0814481032
"Xtra Cream Skin Repair 50ml - Simildiet";1;35.666667;27.230000;8.436667;23.6542063210
"Infini Meso L";1;70.833333;68.600000;2.233333;3.1529407207
"DNA Pept-Ha 4x2,5ml - INNOAESTHETICS";1;37.500000;20.160000;17.340000;46.2400000000
"Neutralizing Spray 200ml - MCCM";1;20.991667;11.940000;9.051667;43.1202867309
"Klorane Dépilatoire Bandelettes de cire froide à l'Amande douce Visage et zones sensibles";1;6.440000;4.275000;2.165000;33.6180124224
"Septimyl 0.5% Solution Chlorhexidine Spray 100ml";1;5.590667;2.440000;3.150667;56.3558337494
"Canules Magic Needle 22G/70 (boite de 25 canules)";1;66.666667;47.500000;19.166667;28.7500003562
"INFINI PREMIUM  Body ( remodelage du corps-fessiers)";1;105.833333;74.900000;30.933333;29.2283462338
"DIVES Organic Silicon + DMAE 10x10ml";1;90.000000;69.300000;20.700000;23.0000000000
"Vitamine C 20% 20x5ml -  MCCM";1;32.033333;15.500000;16.533333;51.6129027223
"DIVES WRINKLEOUT Ha+ 10x5ml (restaure rapidement peaux matures et endommagées)";1;160.000000;112.700000;47.300000;29.5625000000
"MASQUES HYAMIRA COLLAGÈNE Post injection & post peel";1;25.000000;17.430000;7.570000;30.2800000000
"Teosyal RHA Kiss 2x0,7ml";1;113.930000;103.000000;10.930000;9.5936101115
"Xtra Skin Repair 5x5ml - Simildiet";1;68.833333;56.000000;12.833333;18.6440674026
"Remedium Ha+ 5x10ml (Hyaluronidase 1500 UI) - INFINI";1;32.250000;11.550000;20.700000;64.1860465116
