id_product;reference;price;id_shop_default;is_virtual;name;link_rewrite;active;shopname;id_image;name_category;price_final;nb_downloadable;sav_quantity;badge_danger;seo_score;readability_score;key_phrase
145;;95.500000;1;0;"RADIESSE (1x1.5ml)";radiesse-1x15ml;1;"Hyaluronic Filler Market";1141;"Dermal Filler";0;;4;0;177;57;"RADIESSE "
146;;179.166667;1;0;"RADIESSE (1x3ml)";radiesse-1x3ml;0;"Hyaluronic Filler Market";307;"Dermal Filler";0;;8;0;0;0;
147;;65.000000;1;0;"Belotero Soft 1ml";belotero-soft;1;"Hyaluronic Filler Market";344;"Dermal Filler";0;;41;0;0;51;
148;;68.058333;1;0;"BELOTERO Balance";belotero-balance;1;"Hyaluronic Filler Market";311;"Dermal Filler";0;;63;0;0;57;
149;;71.666667;1;0;"BELOTERO Intense";belotero-intense;1;"Hyaluronic Filler Market";976;"Dermal Filler";0;;75;0;174;60;"belotero intense"
150;;156.250000;1;0;"BELOTERO Volume";belotero-volume;1;"Hyaluronic Filler Market";1029;"Dermal Filler";0;;26;0;0;51;
151;;45.833333;1;0;"BELOTERO Hydro";belotero-hydro;0;"Hyaluronic Filler Market";317;"Dermal Filler";0;;29;0;10;57;
152;;45.000000;1;0;"Revitalash Revitabrow Soin pour les Sourcils 3 ml";revitalash-revitabrow-soin-pour-les-sourcils-3-ml;0;"Hyaluronic Filler Market";318;RevitaLash;0;;200;0;0;0;
168;;60.083333;1;0;"NEAUVIA Organic Intense 1ml";hydro-deluxe;1;"Hyaluronic Filler Market";351;"Dermal Filler";0;;69;0;0;57;
170;;60.125000;1;0;"NEAUVIA Organic Intense LV 1ml";intense-lv;1;"Hyaluronic Filler Market";352;"Dermal Filler";0;;75;0;0;57;
171;;58.750000;1;0;"NEAUVIA Organic Intense Lips 1ml";intense-lips-;1;"Hyaluronic Filler Market";353;"Dermal Filler";0;;73;0;0;57;
172;;60.208333;1;0;"Neauvia Organic Intense Rhéology 1ml";intense-rheology;1;"Hyaluronic Filler Market";354;"Dermal Filler";0;;95;0;0;57;
173;;63.750000;1;0;"NEAUVIA Organic Stimulate 1ml";neauvia-organic-stimulate;1;"Hyaluronic Filler Market";355;"Dermal Filler";0;;63;0;0;57;
174;;65.416667;1;0;"NEAUVIA Organic Rose intense";rose-intense;1;"Hyaluronic Filler Market";356;"Dermal Filler";0;;88;0;0;57;
179;;80.000000;1;0;"HYDRO DELUXE 2 (2 x 2,5 ml)";hydro-deluxe-2-x-25-ml;1;"Hyaluronic Filler Market";361;"Dermal Filler";0;;57;0;0;57;
188;;231.666667;1;0;"VCARBON PEELING BIOREVITALISANT ";vcarbon-peeling;0;"Hyaluronic Filler Market";376;Peeling;0;;200;0;30;57;
194;;79.000000;1;0;"FIGURHA INTENSO ( 1x1.25ml )";figurha-initio;0;"Hyaluronic Filler Market";382;"Dermal Filler";0;;10;0;0;0;
195;;206.333333;1;0;"JUVEDERM VOLITE (2x1ml)";juvederm-volite;1;"Hyaluronic Filler Market";377;MESOTHERAPIE;0;;969;0;192;57;JUVEDERM
197;9999900014785;40.958333;1;0;"HYAMIRA BASIC 1ML";hyamira-basic;1;"Hyaluronic Filler Market";615;"Dermal Filler";0;;398;0;160;57;HYAMIRA
198;;108.333333;1;0;"FIGURHA VOLUMO ( 2x1.25 ml)";figurha-volumo-2x125-ml;0;"Hyaluronic Filler Market";384;"Dermal Filler";0;;9;0;4;57;
199;;65.900000;1;0;"FIGURHA INITIO  ( 1x1.25ml )";figurha-initio-1x125ml-;0;"Hyaluronic Filler Market";383;"Dermal Filler";0;;10;0;0;0;
200;;69.000000;1;0;"FIGURHA LIP CONTOUR   ( 1x1.25ml )";figurha-lip-contour-1x125ml-;0;"Hyaluronic Filler Market";385;"Dermal Filler";0;;10;0;0;0;
201;;55.000000;1;0;"FIGURHA EYELIGHTS  ( 1x1.25 ml)";figurha-eyelights-2x125-ml;0;"Hyaluronic Filler Market";386;"Dermal Filler";0;;106;0;0;0;
202;;54.083333;1;0;"SIMETRO 1.25 ML ( Equivalent à RADIESSE)";simetro-125-ml-equivalent-a-radiesse;1;"Hyaluronic Filler Market";387;"Dermal Filler";0;;0;1;0;57;
203;9999900014778;40.166667;1;0;"HYAMIRA SOFT 1ML";hyamira-soft;1;"Hyaluronic Filler Market";616;"Dermal Filler";0;;140;0;0;57;
204;;75.000000;1;0;"SkinFill Silver Plus 2x1ml";skinfill-silver-plus-2-seringues;0;"Hyaluronic Filler Market";389;"Dermal Filler";0;;100;0;31;57;
205;;83.333333;1;0;"SkinFill Gold Plus 2x1ml";skinfill-gold-plus-2-seringues-1-ml;0;"Hyaluronic Filler Market";390;"Dermal Filler";0;;100;0;31;57;
206;;95.833333;1;0;"SkinFill Diamond Plus 2x1ml";skinfill-diamant-forte-2-seringues;0;"Hyaluronic Filler Market";391;"Dermal Filler";0;;99;0;0;57;
207;;197.500000;1;0;"Aqualyx 10x8ml";aqualyx;1;"Hyaluronic Filler Market";392;MESOTHERAPIE;0;;16;0;0;57;
